$N1$;Logging01
$I$;200;02012025_185740800
$C1$;Latitude [°];Longitude [°];Altitude [m,h];Speed [km/h,v];gForce [g,f];Acc X [g,x];Acc Y [g,y];Acc Z [g,z]
$33,71603;-112,47021;474;138;7,95;-3,79;4,42;-5,40
$33,71600;-112,47012;475;143;7,13;-4,27;4,66;-3,28
$33,71598;-112,47003;476;147;3,77;-1,47;2,78;2,7
$33,71597;-112,46996;477;150;8,36;-4,86;4,81;4,81
$33,71598;-112,46986;479;154;6,14;-2,9;4,15;-4,0
$33,71599;-112,46976;479;156;6,51;-3,3;4,30;-3,83
$33,71600;-112,46968;480;159;11,79;5,55;-6,64;7,99
$33,71604;-112,46958;481;166;7,70;-5,56;4,0;3,50
$33,71609;-112,46948;482;168;7,83;0,63;5,63;5,41
$33,71613;-112,46942;483;171;8,66;4,93;-6,48;-2,94
$33,71621;-112,46935;484;176;10,20;-5,73;7,99;2,69
$33,71627;-112,46929;484;180;11,14;1,14;-7,67;7,99
$33,71635;-112,46924;485;183;5,90;-5,46;2,18;0,48
$33,71645;-112,46920;486;181;8,74;-3,92;3,5;7,19
$33,71652;-112,46918;487;185;8,97;-5,50;6,22;3,39
$33,71663;-112,46917;487;186;4,90;3,33;-2,76;-2,30
$33,71673;-112,46918;489;189;10,32;3,93;-7,47;5,93
$33,71681;-112,46920;490;195;3,30;2,43;0,95;2,1
$33,71692;-112,46923;491;200;8,84;-1,58;5,31;6,89
$33,71702;-112,46927;491;198;6,53;0,4;3,91;5,23
$33,71710;-112,46930;490;199;8,37;1,8;2,21;7,99
$33,71720;-112,46935;490;208;8,39;1,26;7,99;-2,21
$33,71728;-112,46940;490;210;7,82;-1,98;4,68;5,94
$33,71738;-112,46946;489;211;8,83;0,19;-8,0;3,74
$33,71749;-112,46953;489;213;5,57;-2,57;4,79;-1,23
$33,71756;-112,46959;488;215;5,12;2,11;-3,50;3,8
$33,71766;-112,46967;488;218;3,35;-2,72;1,94;0,0
$33,71776;-112,46975;488;220;6,74;1,29;-5,52;3,64
$33,71783;-112,46981;487;220;3,65;-2,0;3,3;0,35
$33,71793;-112,46990;487;222;7,18;3,0;-5,53;3,44
$33,71802;-112,47000;488;222;6,48;-4,85;-4,19;0,92
$33,71809;-112,47008;488;223;8,50;0,34;2,86;7,99
$33,71818;-112,47018;489;222;3,34;-1,43;3,1;0,8
$33,71824;-112,47026;489;222;7,80;2,56;-6,12;4,11
$33,71831;-112,47038;490;224;8,88;-4,95;7,37;0,12
$33,71838;-112,47050;491;226;1,71;0,56;1,49;0,61
$33,71843;-112,47060;491;226;9,91;2,58;-7,12;6,39
$33,71848;-112,47073;491;226;11,92;-7,77;7,99;4,22
$33,71851;-112,47088;491;227;5,34;0,7;3,83;3,72
$33,71852;-112,47099;489;226;11,84;-7,39;7,99;4,65
$33,71850;-112,47114;488;225;12,31;7,99;-4,86;7,99
$33,71845;-112,47127;486;222;13,6;-7,23;7,36;7,99
$33,71839;-112,47135;484;221;8,17;4,71;4,54;4,90
$33,71830;-112,47144;481;211;7,72;-3,6;0,19;7,8
$33,71821;-112,47147;477;211;8,52;-2,4;7,99;2,12
$33,71810;-112,47150;474;212;7,91;-2,92;7,28;0,95
$33,71798;-112,47150;471;217;12,77;6,11;-8,0;7,85
$33,71789;-112,47147;468;214;12,3;5,16;-8,0;7,35
$33,71778;-112,47144;467;210;9,14;-6,94;5,94;0,9
$33,71767;-112,47138;465;217;12,40;7,55;-8,0;5,73
$33,71759;-112,47134;464;217;5,79;2,32;-4,2;3,47
$33,71748;-112,47128;463;218;4,26;0,81;0,15;4,18
$33,71737;-112,47121;463;220;4,44;-2,32;3,44;1,57
$33,71729;-112,47117;463;220;5,13;-2,48;3,93;2,17
$33,71718;-112,47111;463;220;4,94;-3,10;2,90;2,52
$33,71710;-112,47105;463;220;5,7;-1,85;1,92;4,31
$33,71700;-112,47099;463;220;0,88;0,76;0,23;0,38
$33,71688;-112,47092;464;220;7,3;-3,84;5,87;0,49
$33,71680;-112,47088;464;219;10,82;-7,42;7,33;-2,89
$33,71669;-112,47081;465;218;5,63;-3,31;4,47;0,84
$33,71658;-112,47075;467;218;3,85;-1,58;1,56;3,15
$33,71651;-112,47070;468;217;5,97;2,25;-3,71;4,10
$33,71640;-112,47063;470;216;2,56;1,90;-1,34;1,5
$33,71629;-112,47057;472;213;5,32;1,58;-4,0;3,13
$33,71622;-112,47053;475;212;3,44;-1,71;2,98;0,24
$33,71611;-112,47046;477;209;4,72;-3,41;3,25;0,19
$33,71604;-112,47041;480;208;1,74;0,5;1,57;0,74
$33,71594;-112,47033;482;210;11,43;5,1;-8,0;6,45
$33,71585;-112,47025;485;209;5,93;1,81;-4,59;3,28
$33,71579;-112,47018;487;210;10,58;-6,93;7,99;0,0
$33,71570;-112,47008;488;214;7,10;4,93;1,9;5,0
$33,71563;-112,46997;488;211;10,59;-2,83;6,34;7,99
$33,71558;-112,46988;487;208;12,19;4,54;-8,0;7,99
$33,71554;-112,46974;485;211;8,75;-2,35;7,35;4,12
